guest_black,host_race_black,host_gender_M,ten_reviews,multiple_listings,shared_property,log_price,yes
0,0,1,0,0,1,4.59512,1
0,0,0,1,1,1,4.8283138,0
0,0,0,1,1,1,4.9052749,0
1,0,0,1,0,0,5.7651911,0
1,0,0,1,0,1,3.6888795,
0,0,0,1,0,0,4.7791233,1
1,0,1,1,1,1,4.3174882,0
1,0,0,1,1,1,4.3820267,0
1,0,0,1,0,1,4.6051702,0
0,1,0,1,1,1,4.3174882,0
1,0,1,1,0,1,4.1743875,0
0,0,0,0,1,1,3.8066626,1
0,0,0,1,1,1,4.4426513,1
0,1,1,1,1,0,5.0106354,1
1,1,1,1,0,1,4.5538769,1
0,1,0,1,1,1,4.0073333,1
0,0,0,0,0,1,4.5538769,0
0,0,0,1,1,1,4.2195077,1
1,0,0,1,1,0,6.5220928,0
1,1,0,1,1,0,5.3706379,1
1,1,0,1,1,1,3.8918202,1
0,0,0,1,0,1,4.0073333,0
0,0,0,1,0,1,4.0073333,0
1,0,0,1,1,1,4.0073333,1
1,0,0,1,1,1,4.59512,1
1,0,0,1,1,1,3.6888795,0
0,0,0,0,1,0,4.8283138,0
1,0,0,0,0,1,5.3706379,0
0,0,1,1,1,1,4.59512,
1,0,0,1,0,0,5.2983174,0
0,0,0,1,0,1,4.7449322,1
1,0,0,1,1,0,5.4553213,0
1,0,0,1,0,0,4.4426513,1
1,0,0,1,1,1,4.3820267,1
0,1,1,0,1,1,4.1743875,1
0,0,1,1,1,1,4.9558272,0
1,0,0,1,0,1,4.8202815,1
0,0,0,1,1,1,4.4886365,0
0,0,1,1,0,0,4.6539602,1
1,0,0,1,0,0,4.7706847,1
0,1,1,0,0,1,5.0434251,0
1,0,0,1,1,1,3.6635616,0
1,0,0,1,0,1,3.5553482,1
1,0,0,1,1,1,3.4011974,1
0,0,0,0,1,1,3.6888795,1
0,0,0,0,1,0,4.7874918,0
1,0,0,1,1,1,4.4426513,1
1,0,0,0,1,0,5.57973,1
0,0,0,1,0,1,4.356709,1
1,0,0,0,0,0,5.7037826,0
0,0,0,1,1,0,5.0039463,1
1,1,1,0,0,1,4.4886365,0
0,0,0,1,1,0,5.2983174,1
0,0,0,1,1,1,4.2341065,1
0,0,0,1,1,1,4.4426513,1
1,0,0,1,1,1,4.3040652,0
1,0,1,1,1,1,3.9512436,0
1,0,0,1,1,0,5.6167712,
1,0,0,1,0,0,5.521461,0
1,0,1,1,1,1,4.5538769,1
1,0,0,1,1,1,4.5643482,1
1,1,0,1,1,0,4.59512,0
1,0,1,0,0,1,4.0943446,0
1,0,0,1,0,0,5.0106354,0
0,0,0,1,0,1,5.0434251,0
1,0,0,1,0,1,4.5538769,1
1,0,0,1,1,1,4.4426513,1
0,0,0,0,0,1,4.1896548,0
0,0,0,1,0,0,5.3471074,0
0,0,0,1,0,0,4.8675346,0
0,0,0,0,0,0,5.0106354,0
1,0,0,1,1,0,4.8283138,1
0,0,0,0,0,0,5.1647859,1
1,0,1,1,0,0,4.9767337,1
1,0,0,1,0,0,4.4998097,0
0,0,0,1,1,1,4.4426513,0
0,0,1,1,1,0,5.5012584,0
1,0,0,0,0,1,5.0039463,0
1,0,0,1,0,0,4.934474,0
1,0,0,1,1,1,3.7612002,0
0,1,0,1,1,0,4.6821313,0
0,0,0,1,0,1,4.8283138,1
1,0,1,1,1,1,5.7004437,0
1,0,0,0,1,0,5.9788857,1
1,0,0,1,0,0,5.32301,0
1,0,0,1,0,0,4.8202815,1
1,0,1,1,1,1,4.4886365,0
1,0,0,1,1,0,4.6051702,1
0,0,0,1,1,0,5.521461,0
0,0,1,1,0,0,4.7706847,0
0,0,0,0,1,0,5.3423343,0
0,0,0,1,0,1,4.2484951,0
1,0,0,1,1,1,4.2195077,0
1,0,0,1,0,1,3.9889841,0
1,0,0,1,1,0,4.7874918,0
0,0,0,1,0,0,4.6539602,1
0,0,0,1,0,0,5.521461,0
1,0,0,1,0,0,5.0434251,
0,0,0,1,1,0,4.9416423,0
0,0,0,0,0,1,3.9120231,0
1,0,0,1,1,0,4.9052749,0
1,0,0,0,0,1,4.0943446,1
1,0,0,1,1,1,4.5108595,0
0,0,0,1,0,1,4.0943446,1
1,0,0,0,1,0,4.3694477,0
0,0,0,1,0,0,5.5174527,1
0,0,1,0,0,0,,0
0,0,0,1,1,1,3.6635616,1
1,0,0,1,1,0,5.1647859,0
1,0,0,1,1,0,4.5538769,1
1,0,0,1,0,1,4.0073333,1
0,0,1,0,1,1,4.0943446,0
0,0,0,1,0,1,4.1743875,0
1,0,1,0,1,0,5.9269261,0
1,0,0,0,1,1,4.4998097,0
0,0,0,0,0,1,4.0073333,1
0,0,0,0,0,0,4.7004805,0
0,0,0,0,1,0,5.2149358,1
0,1,0,1,0,1,4.0604429,1
0,0,1,0,1,0,5.6312118,1
0,0,0,1,1,1,4.7449322,
1,0,0,1,0,0,4.8675346,0
1,0,0,1,0,0,4.7004805,1
0,0,0,0,0,1,4.8675346,0
0,0,0,1,0,0,5.0106354,0
0,0,0,1,1,0,6.3885612,1
1,0,1,1,1,0,5.2983174,0
0,0,1,1,0,0,5.3706379,1
1,0,0,1,1,1,4.6051702,0
0,0,0,0,0,0,5.6167712,1
1,0,0,1,0,0,5.1298985,0
0,0,1,1,0,1,4.4998097,1
0,0,0,1,1,1,4.0073333,1
1,0,0,1,1,0,4.4886365,1
1,0,0,1,0,1,4.6051702,0
0,0,1,1,1,1,4.2195077,1
0,0,0,1,1,0,4.8598123,1
1,0,0,1,0,1,5.2149358,1
1,0,1,1,0,0,5.7960577,1
1,0,0,1,1,1,4.0073333,1
1,0,0,1,0,1,3.9120231,1
0,0,0,1,1,0,4.2195077,1
0,0,0,1,1,0,5.1647859,0
1,0,0,1,1,1,4.0943446,0
1,0,0,1,0,1,4.0775375,1
0,0,0,0,0,0,7.5496092,0
0,0,0,0,0,0,5.4161005,0
0,0,1,1,1,1,4.8283138,1
1,0,1,0,0,1,4.8283138,0
0,0,1,0,0,0,4.6051702,0
0,0,1,1,0,0,6.1246834,0
1,0,0,1,0,0,3.8918202,0
0,1,0,0,1,1,3.9120231,1
1,0,0,1,0,0,5.0689044,1
0,0,0,1,0,0,5.2882671,1
1,1,0,0,0,0,4.7449322,0
1,0,1,1,1,1,4.0775375,0
0,0,0,1,1,0,5.1647859,1
1,0,0,0,1,0,4.8283138,1
1,0,1,1,0,1,4.9416423,1
0,0,1,1,1,1,4.6051702,1
0,0,1,1,1,1,5.521461,0
0,0,0,0,0,1,3.9889841,1
0,0,0,0,0,1,4.59512,0
1,0,0,1,1,1,4.3694477,1
1,0,0,0,0,0,5.521461,0
1,0,0,1,0,0,4.7957907,0
0,0,1,1,1,1,4.4426513,0
1,0,0,1,0,1,4.0943446,1
1,0,0,1,1,0,4.6051702,0
1,0,0,1,1,1,4.1896548,1
1,0,1,1,1,1,4.3040652,1
1,0,0,1,1,0,4.8598123,0
0,1,0,1,0,0,4.9052749,0
1,0,0,1,0,1,4.0604429,0
1,0,0,1,1,1,3.8918202,1
1,0,0,0,0,0,5.1474943,0
1,0,0,1,1,0,4.934474,0
0,0,1,1,1,1,4.3174882,1
1,0,0,1,1,0,5.4161005,0
0,0,0,1,1,0,5.7004437,1
0,0,0,1,1,1,4.2341065,1
1,0,0,0,0,1,4.0073333,1
1,0,1,0,0,0,4.9052749,1
0,0,0,0,0,0,5.0689044,1
0,0,0,1,0,1,4.356709,0
0,0,0,1,1,0,4.2046928,0
0,0,0,1,1,0,4.7449322,1
0,0,0,1,0,0,5.0172796,1
1,0,1,0,0,1,4.0943446,0
1,0,0,1,0,0,5.1647859,0
0,0,0,1,1,1,3.6635616,1
0,0,0,1,0,0,4.89784,1
1,0,0,1,0,1,4.1743875,1
1,0,0,1,1,0,5.0106354,1
1,0,1,1,1,1,4.4998097,1
0,0,1,1,0,0,5.0751739,1
1,0,0,1,0,1,4.2484951,0
1,1,1,1,0,0,4.59512,0
0,1,0,0,0,1,4.4773369,0
0,0,0,1,0,0,4.5747108,0
0,0,0,1,0,0,5.0106354,1
0,0,0,1,0,1,4.4998097,0
1,0,1,1,1,1,4.3174882,1
1,0,0,1,0,1,4.1743875,1
1,0,0,1,0,1,4.1743875,0
1,0,1,1,0,0,4.9416423,1
1,0,0,0,0,1,4.0943446,0
0,0,0,1,1,0,5.7004437,0
0,0,1,1,1,0,5.2933049,1
0,0,0,1,1,0,4.9767337,1
1,0,1,1,1,1,4.3820267,0
1,0,0,1,1,1,4.3694477,1
0,0,0,1,0,1,4.1743875,0
1,0,0,0,0,0,5.2729998,0
0,0,0,0,1,0,4.7004805,0
1,0,0,1,1,0,5.6347895,1
1,0,1,0,0,0,5.857933,0
1,0,0,0,0,0,4.9767337,0
0,1,0,0,0,0,5.0106354,0
0,0,0,0,0,1,4.2484951,0
0,0,0,1,0,1,5.0434251,0
1,0,1,1,1,1,4.7791233,1
1,0,0,0,0,0,5.6167712,1
1,1,1,1,1,1,3.8066626,0
1,0,0,0,0,0,5.0106354,0
1,0,0,1,1,1,4.6539602,0
1,0,0,1,0,0,5.1357985,0
0,0,0,0,1,0,4.9052749,0
0,0,1,1,0,0,4.7791233,0
1,0,0,1,0,0,5.9914646,1
0,0,1,1,0,0,5.187386,1
1,0,0,0,1,1,4.4426513,0
0,0,1,1,1,1,3.9889841,0
0,0,1,0,1,1,5.220356,0
0,0,1,1,1,0,4.9416423,0
0,0,0,0,0,0,4.8675346,0
1,0,0,1,1,1,4.4426513,1
0,1,0,0,0,1,4.3820267,1
1,0,0,1,0,1,4.2341065,1
0,0,0,1,0,1,4.5432949,1
1,0,0,1,1,1,4.0430512,0
1,0,0,1,1,0,4.9052749,0
0,0,0,1,1,1,4.2341065,1
1,0,1,0,0,1,5.1647859,0
1,0,0,0,0,0,4.9052749,0
0,1,0,1,0,0,4.6051702,1
0,0,1,1,1,1,4.4426513,1
1,0,0,0,0,1,6.9077554,0
1,0,0,1,1,0,4.7449322,0
1,0,0,1,0,1,4.2484951,0
1,1,1,1,0,0,5.0751739,0
1,0,0,1,0,1,4.0943446,0
0,0,0,0,1,1,4.1431346,0
0,0,0,1,1,1,3.9702919,0
0,0,0,0,0,0,4.4998097,0
0,0,0,0,0,1,4.4998097,1
1,0,1,1,0,0,4.5538769,0
0,0,1,0,0,0,5.2933049,1
0,0,0,1,0,1,4.4426513,0
0,0,0,1,0,0,4.6913481,1
1,0,0,1,1,0,4.7095304,1
0,0,0,1,0,0,5.5606818,1
0,0,0,0,0,0,5.0106354,1
0,0,1,1,0,0,4.7874918,1
0,0,0,1,1,0,4.7449322,1
1,0,1,1,0,0,4.5538769,1
0,0,0,1,1,1,4.3694477,0
1,0,0,0,0,1,4.3174882,0
0,0,0,1,1,0,4.8283138,0
0,0,0,1,0,0,4.5643482,1
0,0,1,1,1,0,5.6869755,1
1,0,0,1,0,1,5.0106354,1
1,0,0,0,0,1,4.3820267,0
1,0,0,0,0,1,4.0073333,0
1,0,1,1,1,0,5.0106354,0
1,1,0,1,1,1,3.5553482,1
1,1,0,0,0,0,5.0106354,1
0,0,0,1,0,0,5.2933049,1
0,0,0,1,0,1,4.3174882,0
1,0,0,0,0,1,3.9120231,0
0,0,0,0,0,1,4.0943446,0
0,0,0,1,0,0,5.0106354,0
0,0,0,1,0,1,4.4426513,0
1,0,1,1,1,0,6.3784261,1
1,1,0,0,0,1,4.6051702,0
1,0,1,0,0,0,4.7004805,0
1,0,1,1,1,0,4.7791233,1
1,0,1,1,0,0,5.8289456,0
1,0,1,1,0,0,5.187386,1
0,0,0,0,0,1,4.4998097,
0,0,0,1,0,1,4.3174882,0
1,0,0,1,1,0,6.5510802,0
1,0,0,1,1,0,5.1647859,0
1,0,0,1,1,1,4.4886365,0
0,0,0,1,0,0,5.0106354,0
0,0,1,0,0,0,2.5649493,0
1,0,0,1,1,0,4.4886365,0
1,0,0,1,0,1,3.9120231,1
1,0,0,1,0,1,4.0943446,1
